Excel行,Excel名(C),Excel補助(G),Excel型番(F),旧O列,ラウンジ元価格,5%カット後,最終O列,ラウンジ名,ラウンジ型番,照合方法
32,【PSA10】星杯の神子イヴ,クォーターセンチュリーシークレット,QCTB-JP043,9000,10300,9476,9000,星杯の神子イヴ(25th),QCTB-JP043,QCSE,name+code
33,【PSA10】混沌の黒魔術師,クォーターセンチュリーシークレット,QCLP-JP018,8000,8900,8188,8000,混沌の黒魔術師(25th),QCLP-JP018,QCSE,name+code
34,【PSA10】トゥーン・ブラック・マジシャン・ガール,クォーターセンチュリーシークレット,QCLP-JP010,8000,8700,8004,8000,トゥーン・ブラック・マジシャン・ガール(25th),QCLP-JP010,QCSE,name+code
35,【PSA10】トゥーンブラックマジシャンガール(ウルトラ/復刻),ウルトラレア,JP010,31000,33800,31096,31000,トゥーンブラックマジシャンガール(ウルトラ/復刻),JP010,ULTRA,name+code+rarity
36,【PSA10】レッドアイズ・ブラックメタルドラゴン,クォーターセンチュリーシークレット,QCLP-JP005,17000,18600,17112,17000,レッドアイズブラックメタルドラゴン(25th),QCLP-JP005,QCSE,name+code
37,【PSA10】アクア・マドール,クォーターセンチュリーシークレット,QCLP-JP002,8000,9400,8648,8000,アクアマドール(25th),QCLP-JP002,QCSE,name+code
38,【PSA10】女剣士カナン,クォーターセンチュリーシークレット,QCLP-JP001,240000,262000,241040,240000,(QCSE)女剣士カナン,QCLP-JP001,QCSE,name+code
39,【PSA10】白の聖女エクレシア,クォーターセンチュリーシークレット,CF01-JPS02,14000,16000,14720,14000,(新)白の聖女エクレシア,CF01-JPS02,- / PSA10,code_single
40,【PSA10】水霊媒師エリア,クォーターセンチュリーシークレット,ROTA-JP023,7000,8300,7636,7000,水霊媒師エリア,ROTA-JP023(QCSE),- / PSA10,name+code
41,【PSA10】オベリスクの巨神兵,クォーターセンチュリーシークレット,VP24-JP001,8000,8900,8188,8000,オベリスクの巨神兵,VP24-JP001(QCSE),- / PSA10,name+code
42,【PSA10】黒き魔術師－ブラック・マジシャン,クォーターセンチュリーシークレット,INFO-JP006,13000,14900,13708,13000,黒き魔術師ブラックマジシャン(25th),INFO-JP006,QCSE,name+code
43,【PSA10】清冽の水霊使いエリア,クォーターセンチュリーシークレット,QCCP-JP190,14000,16000,14720,14000,清冽の水霊使いエリア(25th),QCCP-JP190,QCSE,name+code
44,【PSA10】(新)真紅眼の黒竜,クォーターセンチュリーシークレット,QCCP-JP108,62000,67500,62100,62000,(新)真紅眼の黒竜,QCCP-JP108,- / PSA10,name+code
45,【PSA10】真紅眼の黒竜,クォーターセンチュリーシークレット,QCCP-JP108,30000,32800,30176,30000,真紅眼の黒竜(25th初期絵柄),QCCP-JP108,QCSE,name+code
46,【PSA10】増援,クォーターセンチュリーシークレット,ART1-JP001,10000,11300,10396,10000,増援,ART1-JP001(QCSE),- / PSA10,name+code
47,【PSA10】I：Pマスカレーナ,クォーターセンチュリーシークレット,QCCU-JP191,12000,14100,12972,12000,IPマスカレーナ(25th),QCCU-JP191,QCSE,name+code
48,【PSA10】蒼翠の風霊使いウィン,クォーターセンチュリーシークレット,QCCU-JP188,12000,14100,12972,12000,蒼翠の風霊使いウィン(25th),QCCU-JP188,QCSE,name+code
49,【PSA10】青眼の究極竜,クォーターセンチュリーシークレット,TDPP-JP018,25000,28200,25944,25000,青眼の究極竜,TDPP-JP018(QCSE),- / PSA10,name+code
50,【PSA10】メテオ・ブラック・ドラゴン,クォーターセンチュリーシークレット,TDPP-JP017,8000,8900,8188,8000,メテオブラックドラゴン,TDPP-JP017(QCSE),- / PSA10,name+code
51,【PSA10】ファイヤー・ウイング・ペガサス,クォーターセンチュリーシークレット,TDPP-JP016,9000,10300,9476,9000,ファイヤーウイングペガサス,TDPP-JP016(QCSE),- / PSA10,name+code
52,【PSA10】エビルナイト・ドラゴン,クォーターセンチュリーシークレット,TDPP-JP015,8000,9400,8648,8000,エビルナイトドラゴン,TDPP-JP015(QCSE),- / PSA10,name+code
53,【PSA10】千年原人,クォーターセンチュリーシークレット,TDPP-JP014,10000,11200,10304,10000,千年原人,TDPP-JP014(QCSE),- / PSA10,name+code
54,【PSA10】トライホーン・ドラゴン,クォーターセンチュリーシークレット,TDPP-JP013,12000,14100,12972,12000,トライホーンドラゴン,TDPP-JP013(QCSE),- / PSA10,name+code
55,【PSA10】ゲート・ガーディアン,クォーターセンチュリーシークレット,TDPP-JP012,7000,8400,7728,7000,ゲートガーディアン,TDPP-JP012(QCSE),- / PSA10,name+code
56,【PSA10】マジシャン・オブ・ブラックカオス,クォーターセンチュリーシークレット,TDPP-JP011,7000,8400,7728,7000,マジシャンオブブラックカオス,TDPP-JP011(QCSE),- / PSA10,name+code
57,【PSA10】青眼の白龍,クォーターセンチュリーシークレット,QCDB-JP009,28000,30800,28336,28000,青眼の白龍(25th/飛行),QCDB-JP009,QCSE,name+code
58,【PSA10】ブラック・マジシャン・ガール,クォーターセンチュリーシークレット,QCDB-JP008,33000,36200,33304,33000,ブラックマジシャンガール,QCDB-JP008,- / PSA10,name+code
59,【PSA10】オシリスの天空竜,クォーターセンチュリーシークレット,VP23-JP001,8000,8900,8188,8000,オシリスの天空竜(25th/絵違い),VP23-JP001,QCSE,name+code
60,【PSA10】灰流うらら,クォーターセンチュリーシークレット,RC04-JP009,21000,23500,21620,21000,灰流うらら,RC04-JP009(QCSE),- / PSA10,name+code
61,【PSA10】カオス・ソルジャー,プリズマティックシークレット,PSEC-JP004,97000,106000,97520,97000,カオスソルジャー,PSEC-JP004,- / PSA10,name+code
62,【PSA10】究極竜騎士,プリズマティックシークレット,BACH-JPS01,67000,73000,67160,67000,究極竜騎士,BACH-JPS01,- / PSA10,name+code
64,【PSA10】(新)I:Pマスカレーナ,プリズマティックシークレット,PAC1-JP034,34000,37500,34500,34000,(新)I:Pマスカレーナ,PAC1-JP034,- / PSA10,name+code
65,【PSA10】I：Pマスカレーナ,プリズマティックシークレット,PAC1-JP034,17000,18800,17296,17000,IPマスカレーナ,PAC1-JP034(PSE),- / PSA10,name+code
66,【PSA10】ラーの翼神竜,プリズマティックシークレット,PGB1-JPS03,16000,18300,16836,16000,ラーの翼神竜,PGB1-JPS03,- / PSA10,name+code
67,【PSA10】オシリスの天空竜,プリズマティックシークレット,PGB1-JPS01,18000,19700,18124,18000,オシリスの天空竜,PGB1-JPS01,- / PSA10,name+code
68,【PSA10】照耀の光霊使いライナ,プリズマティックシークレット,LIOV-JP049,17000,18800,17296,17000,照耀の光霊使いライナ,LIOV-JP049,- / PSA10,name+code
69,【PSA10】青眼の白龍,プリズマティックシークレット,PSEC-JP001,350000,388000,356960,350000,青眼の白龍,PSEC-JP001,- / PSA10,name+code
70,【PSA10】幻想の見習い魔導師,20thシークレット,20CP-JPF02,30000,32800,30176,30000,幻想の見習い魔導師,20CP-JPF02(20TH),- / PSA10,name+code
71,【PSA10】清冽の水霊使いエリア,20thシークレット,ETCO-JP055,130000,144000,132480,130000,清冽の水霊使いエリア,ETCO-JP055,- / PSA10,name+code
72,【PSA10】アロメルスの蟲惑魔,20thシークレット,ETCO-JP045,61000,66500,61180,61000,アロメルスの蟲惑魔,ETCO-JP045,- / PSA10,name+code
73,【PSA10】ブラック・マジシャン・ガール,ホログラフィック,DP23-JP000,78000,85500,78660,78000,ブラックマジシャンガール(ホロ膝折り),DP23-JP000,HOLOGRAPHIC,name+code+rarity
74,【PSA10】崔嵬の地霊使いアウス,20thシークレット,IGAS-JP048,25000,28200,25944,25000,崔嵬の地霊使いアウス,IGAS-JP048,- / PSA10,name+code
75,【PSA10】万物創世龍,10000シークレット,IGAS-JP000,480000,530000,487600,480000,万物創世龍,IGAS-JP000,- / PSA10,name+code
76,【PSA10】I：Pマスカレーナ,20thシークレット,CHIM-JP049,160000,174000,160080,160000,IPマスカレーナ,CHIM-JP049,- / PSA10,name+code
77,【PSA10】蒼翠の風霊使いウィン,20thシークレット,RIRA-JP046,170000,194000,178480,170000,蒼翠の風霊使いウィン,RIRA-JP046,- / PSA10,name+code
78,【PSA10】閃刀姫－レイ,20thシークレット,20CP-JPC02,180000,202000,185840,180000,閃刀姫レイ,20CP-JPC02,- / PSA10,name+code
79,【PSA10】幽鬼うさぎ,20thシークレット,20CP-JPS08,18000,20600,18952,18000,幽鬼うさぎ,20CP-JPS08,- / PSA10,name+code
80,【PSA10】真紅眼の黒竜,20thシークレット,20CP-JPS03,75000,82000,75440,75000,真紅眼の黒竜,20CP-JPS03,- / PSA10,name+code
81,【PSA10】青眼の白龍,20thシークレット,20CP-JPS02,55000,60000,55200,55000,青眼の白龍,20CP-JPS02,- / PSA10,name+code
82,【PSA10】灰流うらら,20thシークレット,20TH-JPC85,150000,165000,151800,150000,灰流うらら,20TH-JPC85,- / PSA10,name+code
83,【PSA10】ブラック・マジシャン・ガール,20thシークレット,20TH-JPC55,240000,268000,246560,240000,ブラックマジシャンガール,20TH-JPC55,- / PSA10,name+code
84,【PSA10】星杯の神子イヴ,20thシークレット,DANE-JP035,130000,145000,133400,130000,星杯の神子イヴ,DANE-JP035,- / PSA10,name+code
85,【PSA10】灼熱の火霊使いヒータ,20thシークレット,SAST-JP056,84000,91500,84180,84000,灼熱の火霊使いヒータ,SAST-JP056,- / PSA10,name+code
86,【PSA10】ブラック・マジシャン,20thシークレット,2018-JPP02,120000,131000,120520,120000,ブラックマジシャン,2018-JPP02(20TH),- / PSA10,name+code
87,【PSA10】青眼の白龍,20thシークレット,2018-JPP01,350000,388000,356960,350000,青眼の白龍,2018-JPP01,- / PSA10,name+code
88,【PSA10】サイバー・ドラゴン・ズィーガー,20thシークレット,CYHO-JP046,12000,14100,12972,12000,サイバードラゴンズィーガー,CYHO-JP046(20TH),- / PSA10,name+code
89,【PSA10】ブラック・マジシャン・ガール,ホログラフィック,2017-JPP01,940000,1032000,949440,940000,(ホログラフィック)ブラックマジシャンガール,2017-JPP01,HOLOGRAPHIC,name+code+rarity
91,【PSA10】No.62 銀河眼の光子竜皇,ホログラフィック,PRIO-JP040,52000,57000,52440,52000,(ホログラフィック)No.62銀河眼の光子竜皇,PRIO-JP040,HOLOGRAPHIC,name+code+rarity
92,【PSA10】銀河眼の光子竜,ホログラフィック,PHSW-JP011,39000,43200,39744,39000,(ホログラフィック) 銀河眼の光子竜,PHSW-JP011,HOLOGRAPHIC,name+code+rarity
93,【PSA10】シューティング・スター・ドラゴン,ホログラフィック,STBL-JP040,160000,174800,160816,160000,(ホログラフィック) シューティングスタードラゴン,STBL-JP040,HOLOGRAPHIC,name+code+rarity
94,【PSA10】(ホログラフィック) ブラックフェザードラゴン,ホログラフィック,TSHD-JP040,93000,101200,93104,93000,(ホログラフィック) ブラックフェザードラゴン,TSHD-JP040,HOLOGRAPHIC,name+code+rarity
95,【PSA10】(レリーフ) ブラックフェザードラゴン,アルティメット,TSHD-JP040,86000,94000,86480,86000,(レリーフ) ブラックフェザードラゴン,TSHD-JP040,ULTIMATE,name+code+rarity
96,【PSA10】(ホログラフィック) セイヴァーデモンドラゴン,ホログラフィック,ABPF-JP040,160000,174800,160816,160000,(ホログラフィック) セイヴァーデモンドラゴン,ABPF-JP040,HOLOGRAPHIC,name+code+rarity
97,【PSA10】(ホログラフィック) セイヴァースタードラゴン,ホログラフィック,SOVR-JP040,120000,131400,120888,120000,(ホログラフィック) セイヴァースタードラゴン,SOVR-JP040,HOLOGRAPHIC,name+code+rarity
98,【PSA10】(ホログラフィック) エンシェントフェアリードラゴン,ホログラフィック,ANPR-JP040,76000,82800,76176,76000,(ホログラフィック) エンシェントフェアリードラゴン,ANPR-JP040,HOLOGRAPHIC,name+code+rarity
99,【PSA10】(レリーフ) エンシェントフェアリードラゴン,アルティメット,ANPR-JP040,77000,84500,77740,77000,(レリーフ) エンシェントフェアリードラゴン,ANPR-JP040,ULTIMATE,name+code+rarity
100,【PSA10】(ホログラフィック) パワーツールドラゴン,ホログラフィック,RGBT-JP042,76000,82800,76176,76000,(ホログラフィック) パワーツールドラゴン,RGBT-JP042,HOLOGRAPHIC,name+code+rarity
101,【PSA10】(レリーフ) パワーツールドラゴン,アルティメット,RGBT-JP042,73000,80000,73600,73000,(レリーフ) パワーツールドラゴン,RGBT-JP042,ULTIMATE,name+code+rarity
102,【PSA10】(ホログラフィック) ブラックローズドラゴン,ホログラフィック,CSOC-JP039,180000,202400,186208,180000,(ホログラフィック) ブラックローズドラゴン,CSOC-JP039,HOLOGRAPHIC,name+code+rarity
103,【PSA10】(レリーフ) ブラックローズドラゴン,アルティメット,CSOC-JP039,140000,154000,141680,140000,(レリーフ) ブラックローズドラゴン,CSOC-JP039,ULTIMATE,name+code+rarity
104,【PSA10】(レリーフ) ブラックデーモンズドラゴン,アルティメット,TDGS-JP041,120000,136000,125120,120000,(レリーフ) レッドデーモンズドラゴン,TDGS-JP041,ULTIMATE,code+rarity
105,【PSA10】(ホログラフィック) スターダストドラゴン,ホログラフィック,TDGS-JP040,170000,193200,177744,170000,(ホログラフィック) スターダストドラゴン,TDGS-JP040,HOLOGRAPHIC,name+code+rarity
106,【PSA10】(レリーフ) スターダストドラゴン,アルティメット,TDGS-JP040,180000,205000,188600,180000,(レリーフ) スターダストドラゴン,TDGS-JP040,ULTIMATE,name+code+rarity
107,【PSA10】(レリーフ) 裁きの龍,アルティメット,LODT-JP026,69000,75500,69460,69000,(レリーフ) 裁きの龍,LODT-JP026,ULTIMATE,name+code+rarity
108,【PSA10】(レリーフ) ユベル,アルティメット,DPC1-JP001,38000,42200,38824,38000,(レリーフ) ユベル,DPC1-JP001,ULTIMATE,name+code+rarity
109,【PSA10】(ホログラフィック) レインボーネオス,ホログラフィック,PTDN-JP044,70000,76500,70380,70000,(ホログラフィック) レインボーネオス,PTDN-JP044,HOLOGRAPHIC,name+code+rarity
110,【PSA10】(レリーフ) E・HEROストームネオス,アルティメット,PTDN-JP043,38000,42200,38824,38000,(レリーフ) E・HEROストームネオス,PTDN-JP043,ULTIMATE,name+code+rarity
111,【PSA10】(レリーフ) E・HEROカオスネオス,アルティメット,GLAS-JP036,43000,46900,43148,43000,(レリーフ) E・HEROカオスネオス,GLAS-JP036,ULTIMATE,name+code+rarity
112,【PSA10】(ホログラフィック) 究極宝玉神レインボードラゴン,ホログラフィック,TAEV-JP006,140000,156600,144072,140000,(ホログラフィック) 究極宝玉神レインボードラゴン,TAEV-JP006,HOLOGRAPHIC,name+code+rarity
113,【PSA10】(レリーフ) 究極宝玉神レインボードラゴン,アルティメット,TAEV-JP006,110000,120000,110400,110000,(レリーフ) 究極宝玉神レインボードラゴン,TAEV-JP006,ULTIMATE,name+code+rarity
114,【PSA10】(レリーフ) 宝玉獣サファイアペガサス,アルティメット,FOTB-JP007,43000,46900,43148,43000,(レリーフ) 宝玉獣サファイアペガサス,FOTB-JP007,ULTIMATE,name+code+rarity
115,【PSA10】F・G・D,アルティメット,BPCT-JP005,60000,65500,60260,60000,(レリーフ) FGD,BPCT-JP005,ULTIMATE,name+code+rarity
116,【PSA10】(レリーフ) E・HEROグランネオス,アルティメット,STON-JP035,38000,42200,38824,38000,(レリーフ) E・HEROグランネオス,STON-JP035,ULTIMATE,name+code+rarity
117,【PSA10】(レリーフ) 鎧黒竜サイバーダークドラゴン,アルティメット,CDIP-JP035,73000,80000,73600,73000,(レリーフ) 鎧黒竜サイバーダークドラゴン,CDIP-JP035,ULTIMATE,name+code+rarity
118,【PSA10】(レリーフ) サイバーダークキール,アルティメット,CDIP-JP003,52000,57000,52440,52000,(レリーフ) サイバーダークキール,CDIP-JP003,ULTIMATE,name+code+rarity
119,【PSA10】(レリーフ) サイバーダークホーン,アルティメット,CDIP-JP001,52000,57000,52440,52000,(レリーフ) サイバーダークホーン,CDIP-JP001,ULTIMATE,name+code+rarity
120,【PSA10】(レリーフ)E・HERO ブラック・ネオス,アルティメット,POTD-JP033,56000,61000,56120,56000,(レリーフ) E・HEROブラックネオス,POTD-JP033,ULTIMATE,name+code+rarity
121,【PSA10】(レリーフ)E・HERO フレア・ネオス,アルティメット,POTD-JP032,38000,42200,38824,38000,(レリーフ) E・HEROフレアネオス,POTD-JP032,ULTIMATE,name+code+rarity
122,【PSA10】(レリーフ)E・HERO アクア・ネオス,アルティメット,POTD-JP031,38000,42200,38824,38000,(レリーフ) E・HEROアクアネオス,POTD-JP031,ULTIMATE,name+code+rarity
123,【PSA10】(レリーフ)真紅眼の闇竜,アルティメット,W6S-JP001,210000,239000,219880,210000,(レリーフ) 真紅眼の闇竜,W6S-JP001,ULTIMATE,name+code+rarity
124,【PSA10】(レリーフ)幽獄の時計塔,アルティメット,EOJ-JP048,100000,113000,103960,100000,(レリーフ) 幽獄の時計塔,EOJ-JP048,ULTIMATE,name+code+rarity
125,【PSA10】(レリーフ)E・HERO シャイニング・フェニックスガイ,アルティメット,EOJ-JP033,44000,47900,44068,44000,(レリーフ) E・HEROシャイニング・フェニックス・ガイ,EOJ-JP033,ULTIMATE,name+code+rarity
128,【PSA10】(レリーフ)幻魔皇ラビエル,アルティメット,SOI-JP003,240000,271000,249320,240000,(レリーフ) 幻魔王ラビエル,SOI-JP003,ULTIMATE,code+rarity
129,【PSA10】(レリーフ)降雷皇ハモン,アルティメット,SOI-JP002,220000,242000,222640,220000,(レリーフ) 降雷皇ハモン,SOI-JP002,ULTIMATE,name+code+rarity
130,【PSA10】(レリーフ)神炎皇ウリア,アルティメット,SOI-JP001,370000,404000,371680,370000,(レリーフ) 神炎皇ウリア,SOI-JP001,ULTIMATE,name+code+rarity
131,【PSA10】(レリーフ)サイバー・ツイン・ドラゴン,アルティメット,CRV-JP035,55000,59900,55108,55000,(レリーフ) サイバーツインドラゴン,CRV-JP035,ULTIMATE,name+code+rarity
132,【PSA10】(レリーフ)サイバー・ドラゴン,アルティメット,CRV-JP015,110000,125000,115000,110000,(レリーフ) サイバードラゴン,CRV-JP015,ULTIMATE,name+code+rarity
133,【PSA10】(レリーフ)ハネクリボー LV10,アルティメット,CRV-JP005,100000,112000,103040,100000,(レリーフ) ハネクリボーLV10,CRV-JP005,ULTIMATE,name+code+rarity
134,【PSA10】(レリーフ)古代の機械巨人,アルティメット,TLM-JP006,120000,131000,120520,120000,(レリーフ) 古代の機械巨人,TLM-JP006,ULTIMATE,name+code+rarity
135,【PSA10】(レリーフ)ハネクリボー,アルティメット,TLM-JP005,110000,126000,115920,110000,(レリーフ) ハネクリボー,TLM-JP005,ULTIMATE,name+code+rarity
136,【PSA10】(レリーフ)ヴィクトリー・ドラゴン,アルティメット,SDX-JP002,38000,42200,38824,38000,(レリーフ) ヴィクトリードラゴン,SDX-JP002,ULTIMATE,name+code+rarity
137,【PSA10】(レリーフ)ネフティスの鳳凰神,アルティメット,FET-JP005,160000,184000,169280,160000,(レリーフ) ネフティスの鳳凰神,FET-JP005,ULTIMATE,name+code+rarity
138,【PSA10】(レリーフ)ピケルの魔法陣,アルティメット,RDS-JP057,60000,65500,60260,60000,(レリーフ) ピケルの魔法陣,RDS-JP057,ULTIMATE,name+code+rarity
139,【PSA10】(レリーフ)創世神,アルティメット,RDS-JP005,69000,75000,69000,69000,(レリーフ) 創世神,RDS-JP005,ULTIMATE,name+code+rarity
140,【PSA10】(レリーフ)黒炎弾,アルティメット,SOD-JP042,52000,57000,52440,52000,(レリーフ) 黒炎弾,SOD-JP042,ULTIMATE,name+code+rarity
141,【PSA10】(レリーフ)ホルスの黒炎竜 LV8,アルティメット,SOD-JP008,110000,123000,113160,110000,(レリーフ) ホルスの黒炎竜LV8,SOD-JP008,ULTIMATE,name+code+rarity
142,【PSA10】(レリーフ)ホルスの黒炎竜 LV6,アルティメット,SOD-JP007,100000,113000,103960,100000,(レリーフ) ホルスの黒炎竜LV6,SOD-JP007,ULTIMATE,name+code+rarity
143,【PSA10】(レリーフ)竜騎士ガイア,アルティメット,309-057,410000,455000,418600,410000,(レリーフ) 竜騎士ガイア,309-057,ULTIMATE,name+code+rarity
144,【PSA10】(レリーフ)スピリッツ・オブ・ファラオ,アルティメット,309-007,60000,65500,60260,60000,(レリーフ) スピリッツオブファラオ,309-007,ULTIMATE,name+code+rarity
145,【PSA10】(レリーフ)混沌帝龍 －終焉の使者－,アルティメット,BPT-J02,86000,94000,86480,86000,(レリーフ) 混沌帝龍-終焉の使者,BPT-J02,ULTIMATE,name+code+rarity
146,【PSA10】(レリーフ)青眼の究極竜,アルティメット,SDX-001,500000,549000,505080,500000,(レリーフ) 青眼の究極竜,SDX-001,ULTIMATE,name+code+rarity
147,【PSA10】(レリーフ)人造人間－サイコ・ショッカー,アルティメット,308-057,280000,310000,285200,280000,(レリーフ) 人造人間サイコショッカー,308-057,ULTIMATE,name+code+rarity
148,【PSA10】(レリーフ)大天使ゼラート,アルティメット,308-034,69000,75000,69000,69000,(レリーフ) 大天使ゼラート,308-034,ULTIMATE,name+code+rarity
149,【PSA10】(レリーフ)封印されしエクゾディア,アルティメット,307-057,190000,211000,194120,190000,(レリーフ) 封印されしエクゾディア,307-057,ULTIMATE,name+code+rarity
150,【PSA10】(レリーフ)混沌の黒魔術師,アルティメット,307-010,440000,482000,443440,440000,(レリーフ) 混沌の黒魔術師,307-010,ULTIMATE,name+code+rarity
151,【PSA10】(レリーフ)マジシャン・オブ・ブラックカオス,アルティメット,306-057,240000,269000,247480,240000,(レリーフ) マジシャンオブブラックカオス,306-057,ULTIMATE,name+code+rarity
152,【PSA10】(レリーフ)カオス・ソルジャー －開闢の使者－,アルティメット,306-025,570000,620000,570400,570000,(レリーフ) カオスソルジャー‐開闢の使者‐,306-025,ULTIMATE,name+code+rarity
153,【PSA10】(レリーフ)究極完全態・グレート・モス,アルティメット,DL5-136,150000,165000,151800,150000,(レリーフ) 究極完全態グレートモス,DL5-136,ULTIMATE,name+code+rarity
154,【PSA10】(レリーフ)暗黒魔族ギルファー・デーモン,アルティメット,305-053,69000,76000,69920,69000,(レリーフ) 暗黒魔族ギルファーデーモン,305-053,ULTIMATE,name+code+rarity
155,【PSA10】(レリーフ)インセクト女王,アルティメット,DL4-136,65000,71500,65780,65000,(レリーフ) インセクト女王,DL4-136,ULTIMATE,name+code+rarity
157,【PSA10】(レリーフ)カイザー・グライダー,アルティメット,304-051,44000,47900,44068,44000,(レリーフ) カイザーグライダー,304-051,ULTIMATE,name+code+rarity
158,【PSA10】(レリーフ)バスター・ブレイダー,アルティメット,303-054,110000,122000,112240,110000,(レリーフ) バスターブレイダー,303-054,ULTIMATE,name+code+rarity
159,【PSA10】(レリーフ)超魔導剣士－ブラック・パラディン,アルティメット,303-051,210000,233000,214360,210000,(レリーフ) 超魔導剣士ブラックパラディン,303-051,ULTIMATE,name+code+rarity
160,【PSA10】(レリーフ)エクスチェンジ,アルティメット,DL2-136,78000,85500,78660,78000,(レリーフ) エクスチェンジ,DL2-136,ULTIMATE,name+code+rarity
